date,source,server,low,q1,md,q3,high
2025-09-02,op-de8a-conflux,onion,70,160,200,280,460
2025-09-02,op-hk8a,onion,450,550,620,730,1000
2025-09-02,op-hk8a-conflux,onion,450,580,650,750,1000
2025-09-02,op-us8a,onion,240,330,370,460,640
2025-09-02,op-us8a-conflux,onion,220,340,390,460,640
2025-09-03,op-de8a,onion,60,150,210,300,520
2025-09-03,op-de8a-conflux,onion,80,170,230,310,510
2025-09-03,op-hk8a,onion,430,540,610,680,880
2025-09-03,op-hk8a-conflux,onion,450,580,650,740,980
2025-09-03,op-us8a,onion,240,330,380,460,650
2025-09-03,op-us8a-conflux,onion,230,330,380,450,630
2025-09-04,op-de8a,onion,70,160,200,290,480
2025-09-04,op-de8a-conflux,onion,90,160,210,290,480
2025-09-04,op-hk8a,onion,450,570,645,750,1010
2025-09-04,op-hk8a-conflux,onion,430,580,670,780,1080
2025-09-04,op-us8a,onion,280,360,410,487,670
2025-09-04,op-us8a-conflux,onion,240,330,380,460,650
2025-09-05,op-de8a,onion,70,150,220,310,550
2025-09-05,op-de8a-conflux,onion,80,190,240,320,510
2025-09-05,op-hk8a,onion,460,560,630,735,990
2025-09-05,op-hk8a-conflux,onion,440,590,680,770,1040
2025-09-05,op-us8a,onion,250,357,400,480,660
2025-09-05,op-us8a-conflux,onion,250,340,390,460,640
2025-09-06,op-de8a,onion,70,150,200,280,470
2025-09-06,op-de8a-conflux,onion,90,170,220,312,520
2025-09-06,op-hk8a,onion,460,560,640,740,980
2025-09-06,op-hk8a-conflux,onion,430,557,640,730,980
2025-09-06,op-us8a,onion,240,340,390,470,650
2025-09-06,op-us8a-conflux,onion,240,350,400,460,620
2025-09-07,op-de8a,onion,70,140,180,260,440
2025-09-07,op-de8a-conflux,onion,80,160,210,290,480
2025-09-07,op-hk8a,onion,450,560,630,707,910
2025-09-07,op-hk8a-conflux,onion,440,530,600,710,970
2025-09-07,op-us8a,onion,240,330,380,450,630
2025-09-07,op-us8a-conflux,onion,210,330,380,470,670
2025-09-08,op-de8a,onion,80,150,190,260,420
